"LOCATION","Location","PLASTICS_EOLFATETYPES","Plastic end of life fates","TIME","Time","Value","Flag Codes","Flags"
"OPA","OECD Asia","LAN","Landfilled","2019","2019",1.73161,,
"OCE","OECD Oceania","MIS","Mismanaged","2000","2000",0.050274,,
"OCE","OECD Oceania","MIS","Mismanaged","2001","2001",0.053953,,
"OCE","OECD Oceania","MIS","Mismanaged","2002","2002",0.058243,,
"OCE","OECD Oceania","MIS","Mismanaged","2003","2003",0.062439,,
"OCE","OECD Oceania","MIS","Mismanaged","2004","2004",0.066976,,
"OCE","OECD Oceania","MIS","Mismanaged","2005","2005",0.071014,,
"OCE","OECD Oceania","MIS","Mismanaged","2006","2006",0.075621,,
"OCE","OECD Oceania","MIS","Mismanaged","2007","2007",0.080384,,
"OCE","OECD Oceania","MIS","Mismanaged","2008","2008",0.083206,,
"OCE","OECD Oceania","MIS","Mismanaged","2009","2009",0.087144,,
"OCE","OECD Oceania","MIS","Mismanaged","2010","2010",0.092364,,
"OCE","OECD Oceania","MIS","Mismanaged","2011","2011",0.097318,,
"OCE","OECD Oceania","MIS","Mismanaged","2012","2012",0.099739,,
"OCE","OECD Oceania","MIS","Mismanaged","2013","2013",0.105509,,
"OCE","OECD Oceania","MIS","Mismanaged","2014","2014",0.107727,,
"OCE","OECD Oceania","MIS","Mismanaged","2015","2015",0.111547,,
"OCE","OECD Oceania","MIS","Mismanaged","2016","2016",0.115241,,
"OCE","OECD Oceania","MIS","Mismanaged","2017","2017",0.120137,,
"OCE","OECD Oceania","MIS","Mismanaged","2018","2018",0.122146,,
"OCE","OECD Oceania","MIS","Mismanaged","2019","2019",0.124666,,
"RAN","Other Eurasia","INC","Incinerated","2000","2000",0.03509,,
"RAN","Other Eurasia","INC","Incinerated","2001","2001",0.038005,,
"RAN","Other Eurasia","INC","Incinerated","2002","2002",0.04173,,
"RAN","Other Eurasia","INC","Incinerated","2003","2003",0.045448,,
"RAN","Other Eurasia","INC","Incinerated","2004","2004",0.049723,,
"RAN","Other Eurasia","INC","Incinerated","2005","2005",0.053658,,
"RAN","Other Eurasia","INC","Incinerated","2006","2006",0.058508,,
"RAN","Other Eurasia","INC","Incinerated","2007","2007",0.063743,,
"RAN","Other Eurasia","INC","Incinerated","2008","2008",0.066585,,
"RAN","Other Eurasia","INC","Incinerated","2009","2009",0.071122,,
"RAN","Other Eurasia","INC","Incinerated","2010","2010",0.077627,,
"RAN","Other Eurasia","INC","Incinerated","2011","2011",0.083142,,
"RAN","Other Eurasia","INC","Incinerated","2012","2012",0.088438,,
"RAN","Other Eurasia","INC","Incinerated","2013","2013",0.094321,,
"RAN","Other Eurasia","INC","Incinerated","2014","2014",0.099834,,
"RAN","Other Eurasia","INC","Incinerated","2015","2015",0.106897,,
"RAN","Other Eurasia","INC","Incinerated","2016","2016",0.11336,,
"RAN","Other Eurasia","INC","Incinerated","2017","2017",0.120433,,
"RAN","Other Eurasia","INC","Incinerated","2018","2018",0.126616,,
"RAN","Other Eurasia","INC","Incinerated","2019","2019",0.171116,,
"MEN","Middle East & North Africa","TOTAL","Total","2000","2000",6.827318,,
"MEN","Middle East & North Africa","TOTAL","Total","2001","2001",7.187149,,
"MEN","Middle East & North Africa","TOTAL","Total","2002","2002",7.659865,,
"MEN","Middle East & North Africa","TOTAL","Total","2003","2003",8.108797,,
"MEN","Middle East & North Africa","TOTAL","Total","2004","2004",8.620644,,
"MEN","Middle East & North Africa","TOTAL","Total","2005","2005",9.051582,,
"MEN","Middle East & North Africa","TOTAL","Total","2006","2006",9.593216,,
"MEN","Middle East & North Africa","TOTAL","Total","2007","2007",10.164215,,
"MEN","Middle East & North Africa","TOTAL","Total","2008","2008",10.371866,,
"MEN","Middle East & North Africa","TOTAL","Total","2009","2009",10.799096,,
"MEN","Middle East & North Africa","TOTAL","Total","2010","2010",11.505343,,
"MEN","Middle East & North Africa","TOTAL","Total","2011","2011",12.039532,,
"MEN","Middle East & North Africa","TOTAL","Total","2012","2012",12.546322,,
"MEN","Middle East & North Africa","TOTAL","Total","2013","2013",13.094199,,
"MEN","Middle East & North Africa","TOTAL","Total","2014","2014",13.61,,
"MEN","Middle East & North Africa","TOTAL","Total","2015","2015",14.177604,,
"MEN","Middle East & North Africa","TOTAL","Total","2016","2016",15.118809,,
"MEN","Middle East & North Africa","TOTAL","Total","2017","2017",15.802218,,
"MEN","Middle East & North Africa","TOTAL","Total","2018","2018",16.345006,,
"MEN","Middle East & North Africa","TOTAL","Total","2019","2019",16.91715,,
"EU5","Other EU","REC","Recycled","2000","2000",0.026501,,
"EU5","Other EU","REC","Recycled","2001","2001",0.030182,,
"EU5","Other EU","REC","Recycled","2002","2002",0.034538,,
"EU5","Other EU","REC","Recycled","2003","2003",0.039024,,
"EU5","Other EU","REC","Recycled","2004","2004",0.044023,,
"EU5","Other EU","REC","Recycled","2005","2005",0.048831,,
"EU5","Other EU","REC","Recycled","2006","2006",0.054403,,
"EU5","Other EU","REC","Recycled","2007","2007",0.060362,,
"EU5","Other EU","REC","Recycled","2008","2008",0.064418,,
"EU5","Other EU","REC","Recycled","2009","2009",0.06985,,
"EU5","Other EU","REC","Recycled","2010","2010",0.077183,,
"EU5","Other EU","REC","Recycled","2011","2011",0.08362,,
"EU5","Other EU","REC","Recycled","2012","2012",0.090165,,
"EU5","Other EU","REC","Recycled","2013","2013",0.097095,,
"EU5","Other EU","REC","Recycled","2014","2014",0.103497,,
"EU5","Other EU","REC","Recycled","2015","2015",0.111699,,
"EU5","Other EU","REC","Recycled","2016","2016",0.119842,,
"EU5","Other EU","REC","Recycled","2017","2017",0.129428,,
"EU5","Other EU","REC","Recycled","2018","2018",0.13828,,
"EU5","Other EU","REC","Recycled","2019","2019",0.147028,,
"OE6","OECD Non-EU","INC","Incinerated","2000","2000",0.991601,,
"OE6","OECD Non-EU","INC","Incinerated","2001","2001",1.081808,,
"OE6","OECD Non-EU","INC","Incinerated","2002","2002",1.192903,,
"OE6","OECD Non-EU","INC","Incinerated","2003","2003",1.303685,,
"OE6","OECD Non-EU","INC","Incinerated","2004","2004",1.428431,,
"OE6","OECD Non-EU","INC","Incinerated","2005","2005",1.542921,,
"OE6","OECD Non-EU","INC","Incinerated","2006","2006",1.680025,,
"OE6","OECD Non-EU","INC","Incinerated","2007","2007",1.825899,,
"OE6","OECD Non-EU","INC","Incinerated","2008","2008",1.906495,,
"OE6","OECD Non-EU","INC","Incinerated","2009","2009",2.029509,,
"OE6","OECD Non-EU","INC","Incinerated","2010","2010",2.206657,,
"OE6","OECD Non-EU","INC","Incinerated","2011","2011",2.353521,,
"OE6","OECD Non-EU","INC","Incinerated","2012","2012",2.505559,,
"OE6","OECD Non-EU","INC","Incinerated","2013","2013",2.678511,,
"OE6","OECD Non-EU","INC","Incinerated","2014","2014",2.813809,,
"OE6","OECD Non-EU","INC","Incinerated","2015","2015",2.981903,,
"OE6","OECD Non-EU","INC","Incinerated","2016","2016",3.161066,,
"OE6","OECD Non-EU","INC","Incinerated","2017","2017",3.382451,,
"OE6","OECD Non-EU","INC","Incinerated","2018","2018",3.594269,,
"OE6","OECD Non-EU","INC","Incinerated","2019","2019",3.759428,,
"OAM","Other OECD America","INC","Incinerated","2000","2000",0.022175,,
"OAM","Other OECD America","INC","Incinerated","2001","2001",0.022921,,
"OAM","Other OECD America","INC","Incinerated","2002","2002",0.02414,,
"OAM","Other OECD America","INC","Incinerated","2003","2003",0.02518,,
"OAM","Other OECD America","INC","Incinerated","2004","2004",0.026454,,
"OAM","Other OECD America","INC","Incinerated","2005","2005",0.02734,,
"OAM","Other OECD America","INC","Incinerated","2006","2006",0.028677,,
"OAM","Other OECD America","INC","Incinerated","2007","2007",0.030063,,
"OAM","Other OECD America","INC","Incinerated","2008","2008",0.029768,,
"OAM","Other OECD America","INC","Incinerated","2009","2009",0.030392,,
"OAM","Other OECD America","INC","Incinerated","2010","2010",0.032088,,
"OAM","Other OECD America","INC","Incinerated","2011","2011",0.033027,,
"OAM","Other OECD America","INC","Incinerated","2012","2012",0.033737,,
"OAM","Other OECD America","INC","Incinerated","2013","2013",0.034852,,
"OAM","Other OECD America","INC","Incinerated","2014","2014",0.035054,,
"OAM","Other OECD America","INC","Incinerated","2015","2015",0.037578,,
"OAM","Other OECD America","INC","Incinerated","2016","2016",0.038364,,
"OAM","Other OECD America","INC","Incinerated","2017","2017",0.03902,,
"OAM","Other OECD America","INC","Incinerated","2018","2018",0.040615,,
"OAM","Other OECD America","INC","Incinerated","2019","2019",0.054668,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2000","2000",1.932519,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2001","2001",2.150235,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2002","2002",2.417594,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2003","2003",2.693601,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2004","2004",3.00909,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2005","2005",3.312735,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2006","2006",3.676252,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2007","2007",4.072216,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2008","2008",4.339835,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2009","2009",4.713863,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2010","2010",5.239573,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2011","2011",5.709205,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2012","2012",6.171062,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2013","2013",6.692499,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2014","2014",7.236724,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2015","2015",7.891369,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2016","2016",8.500107,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2017","2017",9.235472,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2018","2018",10.132723,,
"ODA","Other non-OECD Asia","LAN","Landfilled","2019","2019",10.609316,,
"EU5","Other EU","MIS","Mismanaged","2000","2000",0.195193,,
"EU5","Other EU","MIS","Mismanaged","2001","2001",0.199752,,
"EU5","Other EU","MIS","Mismanaged","2002","2002",0.206234,,
"EU5","Other EU","MIS","Mismanaged","2003","2003",0.211699,,
"EU5","Other EU","MIS","Mismanaged","2004","2004",0.217889,,
"EU5","Other EU","MIS","Mismanaged","2005","2005",0.222005,,
"EU5","Other EU","MIS","Mismanaged","2006","2006",0.227716,,
"EU5","Other EU","MIS","Mismanaged","2007","2007",0.233435,,
"EU5","Other EU","MIS","Mismanaged","2008","2008",0.232433,,
"EU5","Other EU","MIS","Mismanaged","2009","2009",0.234867,,
"EU5","Other EU","MIS","Mismanaged","2010","2010",0.241252,,
"EU5","Other EU","MIS","Mismanaged","2011","2011",0.244083,,
"EU5","Other EU","MIS","Mismanaged","2012","2012",0.246226,,
"EU5","Other EU","MIS","Mismanaged","2013","2013",0.248287,,
"EU5","Other EU","MIS","Mismanaged","2014","2014",0.248232,,
"EU5","Other EU","MIS","Mismanaged","2015","2015",0.250592,,
"EU5","Other EU","MIS","Mismanaged","2016","2016",0.251989,,
"EU5","Other EU","MIS","Mismanaged","2017","2017",0.255199,,
"EU5","Other EU","MIS","Mismanaged","2018","2018",0.255565,,
"EU5","Other EU","MIS","Mismanaged","2019","2019",0.25695,,
"OPA","OECD Asia","TOTAL","Total","2000","2000",5.504465,,
"OPA","OECD Asia","TOTAL","Total","2001","2001",5.767089,,
"OPA","OECD Asia","TOTAL","Total","2002","2002",6.121311,,
"OPA","OECD Asia","TOTAL","Total","2003","2003",6.45112,,
"OPA","OECD Asia","TOTAL","Total","2004","2004",6.82845,,
"OPA","OECD Asia","TOTAL","Total","2005","2005",7.134914,,
"OPA","OECD Asia","TOTAL","Total","2006","2006",7.526875,,
"OPA","OECD Asia","TOTAL","Total","2007","2007",7.9356,,
"OPA","OECD Asia","TOTAL","Total","2008","2008",8.04288,,
"OPA","OECD Asia","TOTAL","Total","2009","2009",8.323398,,
"OPA","OECD Asia","TOTAL","Total","2010","2010",8.804425,,
"OPA","OECD Asia","TOTAL","Total","2011","2011",9.217415,,
"OPA","OECD Asia","TOTAL","Total","2012","2012",9.517326,,
"OPA","OECD Asia","TOTAL","Total","2013","2013",9.901136,,
"OPA","OECD Asia","TOTAL","Total","2014","2014",10.197246,,
"OPA","OECD Asia","TOTAL","Total","2015","2015",10.615935,,
"OPA","OECD Asia","TOTAL","Total","2016","2016",10.888518,,
"OPA","OECD Asia","TOTAL","Total","2017","2017",11.242962,,
"OPA","OECD Asia","TOTAL","Total","2018","2018",11.925862,,
"OPA","OECD Asia","TOTAL","Total","2019","2019",12.250182,,
"RAN","Other Eurasia","LIT","Littered","2000","2000",0.020402,,
"RAN","Other Eurasia","LIT","Littered","2001","2001",0.021497,,
"RAN","Other Eurasia","LIT","Littered","2002","2002",0.02304,,
"RAN","Other Eurasia","LIT","Littered","2003","2003",0.024471,,
"RAN","Other Eurasia","LIT","Littered","2004","2004",0.026153,,
"RAN","Other Eurasia","LIT","Littered","2005","2005",0.027516,,
"RAN","Other Eurasia","LIT","Littered","2006","2006",0.029332,,
"RAN","Other Eurasia","LIT","Littered","2007","2007",0.031249,,
"RAN","Other Eurasia","LIT","Littered","2008","2008",0.031612,,
"RAN","Other Eurasia","LIT","Littered","2009","2009",0.03288,,
"RAN","Other Eurasia","LIT","Littered","2010","2010",0.035162,,
"RAN","Other Eurasia","LIT","Littered","2011","2011",0.036752,,
"RAN","Other Eurasia","LIT","Littered","2012","2012",0.038165,,
"RAN","Other Eurasia","LIT","Littered","2013","2013",0.039819,,
"RAN","Other Eurasia","LIT","Littered","2014","2014",0.041127,,
"RAN","Other Eurasia","LIT","Littered","2015","2015",0.04311,,
"RAN","Other Eurasia","LIT","Littered","2016","2016",0.044653,,
"RAN","Other Eurasia","LIT","Littered","2017","2017",0.046399,,
"RAN","Other Eurasia","LIT","Littered","2018","2018",0.047646,,
"RAN","Other Eurasia","LIT","Littered","2019","2019",0.048614,,
"OCE","OECD Oceania","REC","Recycled","2000","2000",0.016475,,
"OCE","OECD Oceania","REC","Recycled","2001","2001",0.018856,,
"OCE","OECD Oceania","REC","Recycled","2002","2002",0.021716,,
"OCE","OECD Oceania","REC","Recycled","2003","2003",0.024791,,
"OCE","OECD Oceania","REC","Recycled","2004","2004",0.028302,,
"OCE","OECD Oceania","REC","Recycled","2005","2005",0.031852,,
"OCE","OECD Oceania","REC","Recycled","2006","2006",0.036013,,
"OCE","OECD Oceania","REC","Recycled","2007","2007",0.040621,,
"OCE","OECD Oceania","REC","Recycled","2008","2008",0.044397,,
"OCE","OECD Oceania","REC","Recycled","2009","2009",0.049224,,
"OCE","OECD Oceania","REC","Recycled","2010","2010",0.055415,,
"OCE","OECD Oceania","REC","Recycled","2011","2011",0.061935,,
"OCE","OECD Oceania","REC","Recycled","2012","2012",0.067306,,
"OCE","OECD Oceania","REC","Recycled","2013","2013",0.075553,,
"OCE","OECD Oceania","REC","Recycled","2014","2014",0.081905,,
"OCE","OECD Oceania","REC","Recycled","2015","2015",0.090467,,
"OCE","OECD Oceania","REC","Recycled","2016","2016",0.099474,,
"OCE","OECD Oceania","REC","Recycled","2017","2017",0.11038,,
"OCE","OECD Oceania","REC","Recycled","2018","2018",0.119763,,
"OCE","OECD Oceania","REC","Recycled","2019","2019",0.130055,,
"O22","OECD EU ","TOTAL","Total","2000","2000",32.806928,,
"O22","OECD EU ","TOTAL","Total","2001","2001",33.776239,,
"O22","OECD EU ","TOTAL","Total","2002","2002",35.187828,,
"O22","OECD EU ","TOTAL","Total","2003","2003",36.404328,,
"O22","OECD EU ","TOTAL","Total","2004","2004",37.80244,,
"O22","OECD EU ","TOTAL","Total","2005","2005",38.768764,,
"O22","OECD EU ","TOTAL","Total","2006","2006",40.099169,,
"O22","OECD EU ","TOTAL","Total","2007","2007",41.440139,,
"O22","OECD EU ","TOTAL","Total","2008","2008",41.281443,,
"O22","OECD EU ","TOTAL","Total","2009","2009",41.901661,,
"O22","OECD EU ","TOTAL","Total","2010","2010",43.432802,,
"O22","OECD EU ","TOTAL","Total","2011","2011",44.277868,,
"O22","OECD EU ","TOTAL","Total","2012","2012",44.890794,,
"O22","OECD EU ","TOTAL","Total","2013","2013",45.709612,,
"O22","OECD EU ","TOTAL","Total","2014","2014",45.922969,,
"O22","OECD EU ","TOTAL","Total","2015","2015",46.68735,,
"O22","OECD EU ","TOTAL","Total","2016","2016",47.40894,,
"O22","OECD EU ","TOTAL","Total","2017","2017",48.541291,,
"O22","OECD EU ","TOTAL","Total","2018","2018",49.683711,,
"O22","OECD EU ","TOTAL","Total","2019","2019",50.671286,,
"MEN","Middle East & North Africa","LAN","Landfilled","2000","2000",3.459274,,
"MEN","Middle East & North Africa","LAN","Landfilled","2001","2001",3.654809,,
"MEN","Middle East & North Africa","LAN","Landfilled","2002","2002",3.909257,,
"MEN","Middle East & North Africa","LAN","Landfilled","2003","2003",4.153307,,
"MEN","Middle East & North Africa","LAN","Landfilled","2004","2004",4.431411,,
"MEN","Middle East & North Africa","LAN","Landfilled","2005","2005",4.669905,,
"MEN","Middle East & North Africa","LAN","Landfilled","2006","2006",4.967413,,
"MEN","Middle East & North Africa","LAN","Landfilled","2007","2007",5.282295,,
"MEN","Middle East & North Africa","LAN","Landfilled","2008","2008",5.410183,,
"MEN","Middle East & North Africa","LAN","Landfilled","2009","2009",5.65378,,
"MEN","Middle East & North Africa","LAN","Landfilled","2010","2010",6.045373,,
"MEN","Middle East & North Africa","LAN","Landfilled","2011","2011",6.349112,,
"MEN","Middle East & North Africa","LAN","Landfilled","2012","2012",6.640932,,
"MEN","Middle East & North Africa","LAN","Landfilled","2013","2013",6.956822,,
"MEN","Middle East & North Africa","LAN","Landfilled","2014","2014",7.257648,,
"MEN","Middle East & North Africa","LAN","Landfilled","2015","2015",7.58716,,
"MEN","Middle East & North Africa","LAN","Landfilled","2016","2016",8.119819,,
"MEN","Middle East & North Africa","LAN","Landfilled","2017","2017",8.518126,,
"MEN","Middle East & North Africa","LAN","Landfilled","2018","2018",8.842667,,
"MEN","Middle East & North Africa","LAN","Landfilled","2019","2019",9.160226,,
"OE6","OECD Non-EU","LIT","Littered","2000","2000",0.017818,,
"OE6","OECD Non-EU","LIT","Littered","2001","2001",0.018342,,
"OE6","OECD Non-EU","LIT","Littered","2002","2002",0.019237,,
"OE6","OECD Non-EU","LIT","Littered","2003","2003",0.019983,,
"OE6","OECD Non-EU","LIT","Littered","2004","2004",0.020905,,
"OE6","OECD Non-EU","LIT","Littered","2005","2005",0.021512,,
"OE6","OECD Non-EU","LIT","Littered","2006","2006",0.022461,,
"OE6","OECD Non-EU","LIT","Littered","2007","2007",0.023439,,
"OE6","OECD Non-EU","LIT","Littered","2008","2008",0.023109,,
"OE6","OECD Non-EU","LIT","Littered","2009","2009",0.023483,,
"OE6","OECD Non-EU","LIT","Littered","2010","2010",0.024678,,
"OE6","OECD Non-EU","LIT","Littered","2011","2011",0.025276,,
"OE6","OECD Non-EU","LIT","Littered","2012","2012",0.025919,,
"OE6","OECD Non-EU","LIT","Littered","2013","2013",0.026808,,
"OE6","OECD Non-EU","LIT","Littered","2014","2014",0.027124,,
"OE6","OECD Non-EU","LIT","Littered","2015","2015",0.027746,,
"OE6","OECD Non-EU","LIT","Littered","2016","2016",0.028402,,
"OE6","OECD Non-EU","LIT","Littered","2017","2017",0.029432,,
"OE6","OECD Non-EU","LIT","Littered","2018","2018",0.030309,,
"OE6","OECD Non-EU","LIT","Littered","2019","2019",0.031191,,
"OAF","Other Africa","INC","Incinerated","2019","2019",0.082107,,
"ODA","Other non-OECD Asia","INC","Incinerated","2000","2000",0.125411,,
"ODA","Other non-OECD Asia","INC","Incinerated","2001","2001",0.144614,,
"ODA","Other non-OECD Asia","INC","Incinerated","2002","2002",0.16833,,
"ODA","Other non-OECD Asia","INC","Incinerated","2003","2003",0.193788,,
"ODA","Other non-OECD Asia","INC","Incinerated","2004","2004",0.223416,,
"ODA","Other non-OECD Asia","INC","Incinerated","2005","2005",0.253366,,
"ODA","Other non-OECD Asia","INC","Incinerated","2006","2006",0.289396,,
"ODA","Other non-OECD Asia","INC","Incinerated","2007","2007",0.329532,,
"ODA","Other non-OECD Asia","INC","Incinerated","2008","2008",0.360013,,
"ODA","Other non-OECD Asia","INC","Incinerated","2009","2009",0.400827,,
"ODA","Other non-OECD Asia","INC","Incinerated","2010","2010",0.456726,,
"ODA","Other non-OECD Asia","INC","Incinerated","2011","2011",0.509363,,
"ODA","Other non-OECD Asia","INC","Incinerated","2012","2012",0.563194,,
"ODA","Other non-OECD Asia","INC","Incinerated","2013","2013",0.624204,,
"ODA","Other non-OECD Asia","INC","Incinerated","2014","2014",0.689116,,
"ODA","Other non-OECD Asia","INC","Incinerated","2015","2015",0.766749,,
"ODA","Other non-OECD Asia","INC","Incinerated","2016","2016",0.841779,,
"ODA","Other non-OECD Asia","INC","Incinerated","2017","2017",0.93125,,
"ODA","Other non-OECD Asia","INC","Incinerated","2018","2018",1.039834,,
"ODA","Other non-OECD Asia","INC","Incinerated","2019","2019",1.115846,,
"EU5","Other EU","LAN","Landfilled","2000","2000",0.96121,,
"EU5","Other EU","LAN","Landfilled","2001","2001",1.001734,,
"EU5","Other EU","LAN","Landfilled","2002","2002",1.053779,,
"EU5","Other EU","LAN","Landfilled","2003","2003",1.102521,,
"EU5","Other EU","LAN","Landfilled","2004","2004",1.157203,,
"EU5","Other EU","LAN","Landfilled","2005","2005",1.202942,,
"EU5","Other EU","LAN","Landfilled","2006","2006",1.259679,,
"EU5","Other EU","LAN","Landfilled","2007","2007",1.318949,,
"EU5","Other EU","LAN","Landfilled","2008","2008",1.341545,,
"EU5","Other EU","LAN","Landfilled","2009","2009",1.38581,,
"EU5","Other EU","LAN","Landfilled","2010","2010",1.456326,,
"EU5","Other EU","LAN","Landfilled","2011","2011",1.507974,,
"EU5","Other EU","LAN","Landfilled","2012","2012",1.55822,,
"EU5","Other EU","LAN","Landfilled","2013","2013",1.611278,,
"EU5","Other EU","LAN","Landfilled","2014","2014",1.652526,,
"EU5","Other EU","LAN","Landfilled","2015","2015",1.712134,,
"EU5","Other EU","LAN","Landfilled","2016","2016",1.767918,,
"EU5","Other EU","LAN","Landfilled","2017","2017",1.840215,,
"EU5","Other EU","LAN","Landfilled","2018","2018",1.895924,,
"EU5","Other EU","LAN","Landfilled","2019","2019",1.958309,,
"OPA","OECD Asia","LIT","Littered","2000","2000",0.01227,,
"OPA","OECD Asia","LIT","Littered","2001","2001",0.012745,,
"OPA","OECD Asia","LIT","Littered","2002","2002",0.013482,,
"OPA","OECD Asia","LIT","Littered","2003","2003",0.014131,,
"OPA","OECD Asia","LIT","Littered","2004","2004",0.014913,,
"OPA","OECD Asia","LIT","Littered","2005","2005",0.015489,,
"OPA","OECD Asia","LIT","Littered","2006","2006",0.016317,,
"OPA","OECD Asia","LIT","Littered","2007","2007",0.01718,,
"OPA","OECD Asia","LIT","Littered","2008","2008",0.01712,,
"OPA","OECD Asia","LIT","Littered","2009","2009",0.017571,,
"OPA","OECD Asia","LIT","Littered","2010","2010",0.018608,,
"OPA","OECD Asia","LIT","Littered","2011","2011",0.019376,,
"OPA","OECD Asia","LIT","Littered","2012","2012",0.019924,,
"OPA","OECD Asia","LIT","Littered","2013","2013",0.02071,,
